datetime,ntal_cf_duEW,ntal_cf_duNS,ntal_cf_duV,ntol_cf_duEW,ntol_cf_duNS,ntol_cf_duV,hydl_cf_duEW,hydl_cf_duNS,hydl_cf_duV,hydl_cf_dg
2021-03-28 12:00:00,0.0003708927,-0.0010043163,0.00079324184,0.00018481213,-1.0088781e-05,-0.0004384283,0.00042939457,0.00050159474,-0.0006821903,1.3908919
2021-03-28 15:00:00,0.00040517625,-0.0009777697,0.0008158358,,,,,,,
2021-03-28 18:00:00,0.0004349686,-0.0009416144,0.0008087684,,,,,,,
2021-03-28 21:00:00,0.00048507424,-0.000897677,0.00081856945,,,,,,,
2021-03-29 00:00:00,0.0005213673,-0.0008487597,0.000783791,,,,,,,
2021-03-29 03:00:00,0.0005554297,-0.00078572356,0.00068499526,,,,,,,
2021-03-29 06:00:00,0.0005979739,-0.0007054394,0.0005462156,,,,,,,
2021-03-29 09:00:00,0.0006504199,-0.00061898003,0.0003764641,,,,,,,
2021-03-29 12:00:00,0.0006835227,-0.000528225,0.0002336108,0.0001979065,1.8347328e-05,-0.0005533065,0.00041784457,0.0004977265,-0.00065842003,1.3892107
2021-03-29 15:00:00,0.0006791052,-0.00044529123,0.00013306679,,,,,,,
2021-03-29 18:00:00,0.00068069674,-0.00036943276,4.3723385e-06,,,,,,,
2021-03-29 21:00:00,0.0006788987,-0.00030424198,-0.00011232862,,,,,,,
2021-03-30 00:00:00,0.00066207565,-0.00024280649,-0.00022958104,,,,,,,
2021-03-30 03:00:00,0.0006363807,-0.00018577489,-0.00032707752,,,,,,,
2021-03-30 06:00:00,0.0006232866,-0.00012604335,-0.00047680803,,,,,,,
2021-03-30 09:00:00,0.0006281041,-7.315464e-05,-0.0005885558,,,,,,,
2021-03-30 12:00:00,0.000614819,-1.5441474e-05,-0.000655991,0.00017444244,5.2500553e-05,-0.0007056261,0.00040523964,0.0004935688,-0.00061833096,1.3843373
2021-03-30 15:00:00,0.0005886478,1.7398545e-05,-0.0006658016,,,,,,,
2021-03-30 18:00:00,0.00056733616,3.9755014e-05,-0.0006841427,,,,,,,
2021-03-30 21:00:00,0.00054036325,5.812731e-05,-0.0006867419,,,,,,,
2021-03-31 00:00:00,0.0004987732,6.728355e-05,-0.00064830936,,,,,,,
2021-03-31 03:00:00,0.0004726634,6.505822e-05,-0.00056062284,,,,,,,
2021-03-31 06:00:00,0.00042637,7.105892e-05,-0.00051250233,,,,,,,
2021-03-31 09:00:00,0.0003666498,8.524964e-05,-0.00047101395,,,,,,,
2021-03-31 12:00:00,0.00029401254,0.000115778406,-0.00045676754,0.00013350011,8.646486e-05,-0.0006658169,0.00038714043,0.00049173745,-0.0005800794,1.3802664
2021-03-31 15:00:00,0.00020497941,0.00014487939,-0.000431467,,,,,,,
2021-03-31 18:00:00,0.00012772386,0.00019492755,-0.0004668431,,,,,,,
2021-03-31 21:00:00,9.591747e-05,0.00024619102,-0.0004857469,,,,,,,
2021-04-01 00:00:00,7.3713505e-05,0.00026280605,-0.00045749667,,,,,,,
2021-04-01 03:00:00,4.4217457e-05,0.00027530393,-0.00048217605,,,,,,,
2021-04-01 06:00:00,2.7142958e-05,0.00029507722,-0.00056403433,,,,,,,
2021-04-01 09:00:00,2.1379381e-05,0.00031460458,-0.0006182663,,,,,,,
2021-04-01 12:00:00,5.6160843e-06,0.000333784,-0.00068362,0.00011434951,0.0001112787,-0.0007115571,0.00037123944,0.0004912198,-0.000564747,1.3751823
2021-04-01 15:00:00,-6.3665057e-06,0.00034464852,-0.00070125074,,,,,,,
2021-04-01 18:00:00,3.2570822e-06,0.00035274436,-0.0007289291,,,,,,,
2021-04-01 21:00:00,1.446693e-06,0.0003494072,-0.00074465777,,,,,,,
2021-04-02 00:00:00,-1.7061677e-05,0.0003222116,-0.000722513,,,,,,,
2021-04-02 03:00:00,-5.05496e-05,0.00030678112,-0.0007063886,,,,,,,
2021-04-02 06:00:00,-7.4977856e-05,0.000303252,-0.00072726625,,,,,,,
2021-04-02 09:00:00,-0.000108070344,0.0003165673,-0.000786279,,,,,,,
2021-04-02 12:00:00,-0.00015148599,0.0003289061,-0.0007764763,0.000105184816,0.00011001815,-0.0006865439,0.00035396285,0.0004887082,-0.0005459867,1.3687899
2021-04-02 15:00:00,-0.00017888157,0.00033940136,-0.000747012,,,,,,,
2021-04-02 18:00:00,-0.00019575148,0.00034669842,-0.00079539226,,,,,,,
2021-04-02 21:00:00,-0.00020821564,0.00034864567,-0.00077759376,,,,,,,
2021-04-03 00:00:00,-0.00023980292,0.00034065972,-0.0007388173,,,,,,,
2021-04-03 03:00:00,-0.0002709712,0.00033807143,-0.0006769137,,,,,,,
2021-04-03 06:00:00,-0.00027815328,0.0003475054,-0.00069841486,,,,,,,
2021-04-03 09:00:00,-0.0002902132,0.00033843206,-0.00065927487,,,,,,,
2021-04-03 12:00:00,-0.0003290714,0.0003191635,-0.0005734383,8.324858e-05,0.00012526312,-0.00067677046,0.00035685886,0.0004975841,-0.00055860245,1.3670166
2021-04-03 15:00:00,-0.00035779548,0.00029975665,-0.00047109262,,,,,,,
2021-04-03 18:00:00,-0.00041510386,0.00028669956,-0.0004399594,,,,,,,
2021-04-03 21:00:00,-0.00045648066,0.00029673346,-0.00045091336,,,,,,,
2021-04-04 00:00:00,-0.0004823869,0.00032934107,-0.0005126823,,,,,,,
2021-04-04 03:00:00,-0.0004848649,0.00040363474,-0.00066198816,,,,,,,
2021-04-04 06:00:00,-0.0004990136,0.00045392718,-0.0007837702,,,,,,,
2021-04-04 09:00:00,-0.0005348275,0.00047847323,-0.00080688397,,,,,,,
